Id,Job Title,Company,Location,Date Posted,Position,Employment Type,Minimum Education,Category,Industry
215689,Microsoft Power Apps (Automation Developer)  ,PGI Data,"Jakarta, Indonesia",2023-04-17 03:54:58.436527+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
219866,DevOps and Data Engineer  ,Mobius Digital,"Tangerang Selatan, Indonesia",2023-04-04 09:02:35.935010+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
218980,Data Quality Analyst  ,Astra Financial,"Central Jakarta City, Indonesia",2023-04-03 06:56:37.850649+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
216331,Data Entry  ,PT. Royal Trust,"South Jakarta, Indonesia",2023-03-31 03:23:45.773256+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus SMA,Administration and Coordination,Investment Management / Hedge Fund / Private Equity
198724,Project Manager  ,PGI Data,"Jakarta, Indonesia",2023-04-03 06:38:05.915181+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
219435,Business Development (B2B Corporate Sales)  ,Algoritma,"Jakarta, Indonesia",2023-04-14 08:34:31.679744+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Professional Training
222971,iOS Developer  ,PhinCon ,"Jakarta Selatan, Indonesia",2023-04-10 04:28:30.077492+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,
182750,Data Engineer  ,PT Global Urban Esensial,"South Tangerang, Indonesia",2023-03-24 03:17:46.464188+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Health / Fitness
153416,Senior Data Engineer  ,paper.id,"North Jakarta, Indonesia",2023-04-12 07:59:25.390774+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
197693,Data Analytics Manager  ,PT Adicipta Inovasi Teknologi,"Kota Jakarta Barat, Indonesia",2023-04-06 02:20:33.531699+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
